"Status","Name","Duration in ms","Description"
"passed","test_lately_more_search_car.Test_LatelySearchCar#test_ftcar_lastime_isnotnull","0",""
"passed","test_lately_more_search_car.Test_LatelySearchCar#test_carcount","6",""
"failed","test_lately_more_search_car.Test_LatelySearchCar#test_ftcar_license","3",""
"passed","test_lately_more_search_car.Test_LatelySearchCar#test_statuscode","1",""
